"","home","home_scores","home_total_shots","home_shots_on_target","home_total_passes","home_long_passes","home_total_dribbles","home_successful_dribbles","home_total_tackles","home_successful_tackles","home_total_interceptions","home_total_clearances","home_total_blocks","home_total_offsides","home_total_fouls","home_total_aerial_duels","home_total_touches","home_total_loss_of_possession","home_turnover","home_total_errors","home_total_saves","home_total_claims","home_total_punches","away","away_scores","away_total_shots","away_shots_on_target","away_total_passes","away_long_passes","away_total_dribbles","away_successful_dribbles","away_total_tackles","away_successful_tackles","away_total_interceptions","away_total_clearances","away_total_blocks","away_total_offsides","away_total_fouls","away_total_aerial_duels","away_total_touches","away_total_loss_of_possession","away_turnover","away_total_errors","away_total_saves","away_total_claims","away_total_punches","result"
"1445","West Brom",0,17,6,383,66,16,8,13,11,22,15,13,1,12,18,586,33,18,1,2,0,0,"Southampton",1,10,3,549,80,5,2,29,21,23,34,17,0,12,22,749,21,11,0,6,1,3,"-1"
"1446","West Ham",1,14,6,361,66,12,8,40,25,15,40,12,2,12,16,557,19,12,0,1,1,0,"Swansea",0,5,1,413,81,27,15,18,10,5,14,19,0,12,17,619,28,12,3,5,2,0,"1"
"1447","Stoke",1,9,4,380,55,18,13,26,20,14,25,17,7,7,15,593,34,15,0,2,0,1,"Liverpool",2,15,4,486,80,15,6,36,23,9,26,9,2,11,19,680,23,10,3,3,0,3,"-1"
"1448","Manchester City",3,23,7,713,52,19,11,27,22,17,23,12,1,6,11,918,27,12,0,0,0,1,"Hull",1,8,1,340,59,18,5,32,21,22,26,14,2,8,10,532,25,11,0,6,0,1,"1"
"1449","Middlesbrough",0,13,5,451,85,13,8,17,12,9,25,10,2,9,30,635,27,14,0,2,3,0,"Burnley",0,7,2,340,80,10,5,24,16,16,22,15,2,12,17,504,19,10,0,3,1,0,"0"
"1450","Bournemouth",1,12,1,540,63,14,5,33,24,13,12,16,0,7,6,731,27,15,0,3,1,0,"Chelsea",3,15,5,524,70,21,9,24,19,14,24,20,1,11,12,716,25,13,0,1,1,1,"-1"
"1451","Sunderland",0,9,4,237,67,13,11,28,16,23,24,17,2,14,12,426,18,9,0,6,0,0,"Man Utd",3,18,9,582,59,17,12,22,11,10,34,12,2,20,19,763,16,4,0,4,2,0,"-1"
"1452","Everton",4,12,7,594,91,23,13,28,18,11,26,12,0,8,19,803,33,23,0,2,1,0,"Leicester",2,6,4,382,80,17,10,31,18,14,31,13,0,15,18,578,20,8,0,3,1,0,"1"
"1453","Crystal Palace",3,17,6,233,62,21,11,39,22,19,37,11,5,11,21,455,27,14,1,3,0,0,"Arsenal",0,11,3,628,59,24,17,31,20,10,18,8,2,10,21,829,31,15,1,3,2,0,"1"
"1454","Tottenham",4,24,14,655,64,19,8,16,13,4,14,6,3,8,14,834,25,14,0,1,0,0,"Bournemouth",0,5,1,297,71,7,3,26,18,7,27,19,2,10,9,476,23,12,0,10,0,0,"1"
"1455","Watford",1,15,7,444,70,22,14,21,15,3,22,13,4,8,21,633,28,15,1,4,3,1,"Swansea",0,13,4,383,71,16,6,34,20,7,18,15,2,13,23,579,24,15,1,6,2,0,"1"
"1456","Stoke",3,14,4,359,57,14,9,25,14,10,25,22,4,12,14,559,27,14,1,2,2,1,"Hull",1,14,3,436,71,18,11,27,18,14,18,14,3,5,9,627,15,6,0,1,0,0,"1"
"1457","Sunderland",2,14,4,367,73,13,7,26,17,11,21,13,2,14,10,545,24,16,0,1,1,0,"West Ham",2,7,3,416,69,14,9,19,12,10,30,13,0,10,14,584,21,9,1,2,0,0,"0"
"1458","Crystal Palace",2,15,4,420,78,23,13,32,19,19,24,11,0,10,28,661,27,12,1,0,1,0,"Leicester",2,6,2,311,82,20,13,37,24,11,32,22,0,16,20,513,19,7,0,2,1,0,"0"
"1459","Everton",3,29,7,529,80,13,6,24,18,8,45,13,3,15,17,768,31,13,1,3,6,1,"Burnley",1,14,6,301,74,9,6,31,25,15,24,21,0,14,26,507,24,9,0,5,1,2,"1"
"1460","Southampton",0,8,1,434,54,18,8,30,21,19,17,21,0,9,10,616,16,10,1,2,0,0,"Man City",3,18,5,628,38,17,9,21,13,16,15,16,0,8,7,809,23,8,0,1,0,1,"-1"
"1461","West Brom",0,7,2,311,66,16,9,30,15,9,20,17,6,15,23,505,31,17,1,1,1,0,"Liverpool",1,15,2,566,79,20,15,30,21,18,34,15,2,9,24,790,26,15,0,2,0,4,"-1"
"1462","Man Utd",2,9,3,416,76,21,8,36,28,19,24,15,1,16,14,611,21,9,0,0,0,0,"Chelsea",0,5,0,479,54,13,8,31,23,21,8,9,1,20,9,672,45,20,0,1,0,0,"1"
"1463","Middlesbrough",1,13,5,308,70,20,13,26,18,14,20,17,3,11,24,515,27,13,0,2,0,1,"Arsenal",2,12,4,584,63,18,8,32,19,12,31,9,0,16,25,786,29,18,1,4,1,1,"-1"
"1464","Bournemouth",4,21,10,601,66,23,14,29,22,12,5,6,2,4,12,791,25,12,0,2,0,0,"Middlesbrough",0,5,2,276,63,19,7,34,20,17,31,11,2,14,14,457,19,7,2,6,1,0,"1"
"1465","Hull",2,8,3,300,60,12,7,24,17,7,31,11,2,10,16,464,23,13,0,2,1,0,"Watford",0,14,2,573,56,12,7,22,15,6,12,12,2,11,14,751,27,14,0,1,1,0,"1"
"1466","Swansea",2,10,6,365,66,11,4,39,23,6,22,13,1,5,10,566,20,11,0,3,4,1,"Stoke",0,9,3,455,64,24,16,19,15,9,21,14,1,14,16,649,29,13,2,4,0,0,"1"
"1467","West Ham",0,15,3,346,63,21,13,25,17,17,19,12,1,9,19,534,22,10,0,0,0,0,"Everton",0,4,0,524,87,17,8,33,20,9,24,14,2,15,14,695,18,8,0,3,0,0,"0"
"1468","Burnley",0,8,0,385,88,18,10,47,32,6,10,17,3,17,20,591,33,21,0,4,1,0,"Man Utd",2,12,6,471,83,28,15,28,18,16,33,10,1,16,15,704,42,21,0,0,1,1,"-1"
"1469","Liverpool",1,14,1,626,60,31,19,39,23,9,21,11,0,8,14,854,37,18,0,1,0,0,"Crystal Palace",2,7,3,234,72,25,16,47,28,14,34,22,3,10,22,459,32,15,0,0,1,1,"-1"
"1470","Chelsea",4,17,7,477,61,11,9,21,15,7,25,15,0,13,16,649,20,11,0,2,0,3,"Southampton",2,12,4,509,49,16,6,19,10,15,19,20,2,9,7,705,24,16,1,3,1,0,"1"
"1471","Middlesbrough",1,6,2,397,82,11,5,22,13,14,32,9,1,15,28,578,26,14,0,4,1,0,"Sunderland",0,10,4,416,82,16,9,20,15,17,23,15,6,11,39,610,26,17,0,1,1,0,"1"
"1472","Arsenal",1,12,5,692,42,13,8,13,10,12,16,10,8,9,29,874,22,11,2,3,0,0,"Leicester",0,8,3,317,64,6,3,24,16,18,39,14,6,13,20,503,19,11,0,5,2,0,"1"
"1473","Crystal Palace",0,6,1,264,81,13,8,35,24,16,26,25,1,13,22,478,38,16,0,3,0,0,"Tottenham",1,18,4,593,70,22,11,32,24,5,26,14,0,15,20,810,29,15,0,1,0,0,"-1"
"1474","Man City",0,19,6,643,35,31,14,32,20,11,10,18,2,10,11,850,25,14,1,1,1,0,"Man Utd",0,3,1,287,58,26,12,35,21,16,26,20,1,8,7,476,19,10,0,6,0,0,"0"
"1475","Southampton",0,11,2,431,55,17,10,29,19,7,27,23,2,9,12,640,24,12,0,1,0,0,"Hull",0,9,1,399,77,16,10,28,18,18,26,16,1,13,18,602,27,13,2,2,3,1,"0"
"1476","Stoke",0,19,4,507,76,23,9,31,19,8,24,12,2,12,22,688,18,11,2,4,2,1,"West Ham",0,12,4,374,51,25,12,26,17,20,38,24,4,3,21,604,24,16,0,4,0,0,"0"
"1477","Sunderland",0,17,5,338,62,12,8,36,27,17,20,18,4,13,20,542,27,15,0,5,0,0,"Bournemouth",1,15,7,501,67,21,9,23,15,11,34,12,1,9,16,717,33,16,1,5,1,0,"-1"
"1478","West Bromwich Albion",0,16,4,392,72,16,8,22,16,9,27,14,1,14,35,587,21,10,1,0,1,0,"Leicester",1,6,1,323,81,11,6,25,17,15,30,19,1,9,16,514,20,8,0,4,1,0,"-1"
"1479","Crystal Palace",0,15,5,463,83,26,18,13,13,6,22,10,2,11,26,698,32,16,1,1,1,0,"Burnley",2,9,3,273,83,4,0,39,21,8,51,26,1,12,30,485,22,12,0,5,0,0,"-1"
"1480","Man Utd",1,12,6,519,71,21,9,24,13,14,20,12,1,11,8,693,17,13,0,3,0,0,"Swansea",1,12,4,425,65,14,11,20,11,10,30,10,2,13,18,604,29,18,0,5,2,0,"0"
"1481","Middlesbrough",2,14,6,257,65,14,12,28,14,12,45,12,1,9,13,434,14,8,0,2,2,0,"Manchester City",2,22,4,542,36,21,14,19,7,7,20,6,1,9,17,742,26,16,1,4,0,0,"0"
"1482","Everton",0,12,3,423,88,15,8,37,21,15,26,8,2,13,14,601,24,16,1,2,0,0,"Chelsea",3,11,5,426,53,26,16,20,12,11,29,10,1,11,14,636,33,20,0,2,0,1,"-1"
"1483","Tottenham",2,20,11,416,65,28,11,23,14,8,30,11,2,7,13,634,20,11,1,4,1,0,"Arsenal",0,12,4,405,59,15,9,32,21,5,25,19,5,15,11,609,26,18,1,9,0,0,"1"
"1484","Watford",0,9,2,357,81,17,9,35,20,14,30,17,6,11,19,558,19,13,0,7,1,2,"Liverpool",1,12,8,537,74,29,15,21,12,11,23,13,0,9,27,757,22,11,0,2,6,1,"-1"
"1485","West Ham",1,13,5,272,71,10,6,24,14,18,44,16,3,8,15,483,32,18,1,5,0,0,"Tottenham",0,11,5,571,77,16,10,23,17,5,12,9,0,9,17,744,22,13,2,4,1,0,"1"
"1486","Manchester City",5,26,12,611,37,30,21,26,16,14,26,10,2,12,14,816,23,12,0,2,2,0,"Crystal Palace",0,5,2,266,59,21,10,38,17,16,19,10,0,8,12,443,26,18,6,7,3,0,"1"
"1487","Bournemouth",2,13,2,514,55,20,9,21,13,8,34,14,1,10,14,698,21,15,0,2,1,0,"Stoke",2,15,3,358,66,16,8,22,13,18,15,8,2,15,18,538,18,11,0,1,4,0,"0"
"1488","Burnley",2,14,4,383,87,10,3,20,11,9,31,16,3,9,21,570,16,8,1,1,2,1,"West Bromwich Albion",2,11,3,306,88,10,9,17,14,7,42,12,1,14,34,503,25,15,1,3,2,0,"0"
"1489","Hull",0,16,6,451,69,9,4,23,13,12,18,15,0,10,8,641,31,18,2,3,0,0,"Sunderland",2,12,5,317,75,17,10,20,16,13,27,17,4,8,20,502,16,9,0,5,2,3,"-1"
"1490","Leicester",3,11,5,333,67,12,5,36,24,17,29,13,5,8,24,541,21,16,1,7,3,0,"Watford",0,14,7,487,70,28,12,17,12,14,45,10,4,10,22,709,21,10,2,3,2,1,"1"
"1491","Swansea",1,9,4,341,58,11,5,29,19,10,50,13,0,5,22,544,20,12,0,2,1,0,"Everton",0,9,2,568,85,16,10,16,11,7,24,13,0,13,21,756,30,16,1,3,1,1,"1"
"1492","Liverpool",0,17,8,599,60,19,12,16,13,17,20,15,1,9,17,815,37,20,0,0,3,1,"Southampton",0,4,0,318,79,11,3,34,22,14,33,13,3,4,13,521,24,14,1,8,1,0,"0"
"1493","Arsenal",2,9,4,525,53,22,12,23,15,5,23,15,2,14,7,704,25,11,1,4,0,1,"Man Utd",0,10,4,529,67,16,8,34,22,16,17,14,4,10,11,704,18,8,0,2,0,0,"1"
"1494","Chelsea",3,21,7,619,54,20,14,20,14,7,10,8,0,8,7,777,18,11,0,1,1,0,"Middlesbrough",0,2,1,466,69,15,6,27,13,12,24,13,2,21,12,620,21,15,1,4,0,0,"1"
"1495","Southampton",0,14,3,433,57,15,9,20,10,16,24,14,2,8,14,634,26,13,0,2,0,0,"Arsenal",2,11,4,504,49,19,10,25,16,13,23,11,1,5,19,682,18,13,0,3,1,0,"-1"
"1496","Everton",1,15,6,538,88,19,8,22,12,15,53,11,2,7,31,768,22,12,0,2,2,0,"Watford",0,14,2,317,55,19,10,24,16,18,46,14,1,11,25,537,21,15,0,5,1,1,"1"
"1497","West Bromwich Albion",0,7,2,262,63,13,6,26,18,15,28,13,3,13,15,437,18,15,1,4,0,1,"Chelsea",1,24,5,571,54,16,8,13,7,5,24,10,1,8,14,746,17,6,0,2,3,1,"-1"
"1498","Man City",2,17,5,541,46,15,9,20,15,11,29,15,0,12,18,741,24,12,1,3,0,2,"Leicester",1,9,4,276,74,12,5,26,17,22,21,16,0,16,7,454,22,13,1,3,0,1,"1"
"1499","Middlesbrough",1,14,3,367,66,16,10,16,11,10,14,16,2,19,21,533,20,12,0,2,0,1,"Southampton",2,14,4,522,50,13,5,22,12,9,22,16,0,11,27,694,16,9,0,2,0,0,"-1"
"1500","Bournemouth",2,18,6,488,96,19,11,17,11,19,25,15,3,6,18,676,23,10,0,2,0,0,"Burnley",1,14,3,397,82,9,6,32,21,12,14,15,5,11,30,561,22,13,0,4,0,0,"1"
"1501","Sunderland",0,13,4,441,70,12,8,23,21,10,18,8,2,13,9,622,26,13,1,1,0,1,"Swansea",2,3,3,400,65,9,2,25,17,11,25,11,1,6,16,573,28,13,1,4,1,0,"-1"
"1502","Stoke",1,10,4,287,56,22,11,35,21,9,20,11,3,13,13,472,20,11,2,2,1,0,"Arsenal",4,10,6,607,50,17,14,27,16,9,24,17,2,7,21,802,31,13,0,3,1,0,"-1"
"1503","Crystal Palace",4,12,4,200,58,8,2,28,19,13,38,17,3,13,21,386,15,8,0,0,3,0,"Hull",0,9,0,487,63,18,9,15,13,6,16,6,1,14,12,659,26,15,2,0,0,0,"1"
"1504","West Ham",0,10,3,289,71,15,12,23,14,10,21,8,3,5,12,462,34,20,3,7,1,1,"Liverpool",4,26,11,594,58,12,9,28,16,8,13,5,3,10,17,765,29,18,0,3,2,2,"-1"
"1505","Tottenham",2,14,7,530,71,22,11,24,18,11,16,15,2,14,13,725,21,14,0,1,0,0,"Man Utd",1,8,2,356,70,16,6,28,17,15,33,17,1,15,8,564,26,16,0,4,1,0,"1"
"1506","Chelsea",4,24,9,456,52,20,16,41,32,12,14,13,4,7,12,662,27,17,2,0,0,0,"Watford",3,9,3,522,45,19,9,28,12,15,17,20,2,12,6,714,40,16,3,5,0,0,"1"
"1507","Arsenal",2,36,13,543,37,14,9,18,9,11,17,8,2,15,18,744,25,13,0,2,0,0,"Sunderland",0,6,2,336,73,13,9,24,15,10,32,24,3,10,7,512,9,4,0,11,0,2,"1"
"1508","Manchester City",3,21,10,686,38,20,14,32,23,14,9,5,2,8,15,869,26,18,0,1,0,1,"West Bromwich Albion",1,6,2,283,61,14,9,25,11,28,16,9,1,11,6,458,35,16,1,7,1,0,"1"
"1509","Southampton",0,17,6,484,48,14,12,18,12,9,11,13,0,7,14,648,23,16,1,1,1,0,"Man Utd",0,11,1,450,51,13,6,21,9,12,32,19,3,10,11,616,16,8,0,6,2,1,"0"
"1510","Leicester",1,12,5,321,68,23,11,45,24,13,16,14,4,11,12,519,20,14,0,6,0,0,"Tottenham",6,26,12,561,68,39,21,28,17,8,28,13,2,8,13,782,19,10,0,4,0,2,"-1"
"1511","Arsenal",3,17,9,438,47,13,8,23,18,11,30,11,0,10,9,622,26,18,0,6,1,0,"Everton",1,22,7,428,65,11,5,18,10,8,20,12,1,15,8,604,23,10,0,6,0,0,"1"
"1512","Burnley",1,9,1,396,94,12,6,22,12,7,20,18,0,11,25,564,23,15,0,2,0,0,"West Ham",2,14,4,489,78,14,10,19,13,10,24,11,3,14,22,660,20,10,0,0,0,0,"-1"
"1513","Chelsea",5,28,8,643,41,15,12,25,16,7,4,9,0,8,10,813,23,8,0,2,1,0,"Sunderland",1,7,3,269,64,14,9,29,17,14,35,16,1,15,5,440,18,6,2,3,3,0,"1"
"1514","Hull",1,10,4,310,61,8,4,34,19,19,23,10,2,14,7,474,15,5,1,7,0,0,"Tottenham",7,19,14,600,75,27,15,18,14,11,15,14,0,5,7,804,21,12,2,3,0,1,"-1"
"1515","Leicester",1,20,4,412,68,34,14,38,26,12,10,14,5,11,23,629,18,12,0,3,1,0,"Bournemouth",1,10,4,446,59,20,12,34,20,14,28,12,1,10,23,649,35,15,0,4,0,0,"0"
"1516","Liverpool",3,25,10,752,40,12,8,20,14,5,18,9,1,13,10,929,25,14,1,3,2,2,"Middlesbrough",0,9,3,260,68,11,6,23,15,16,30,13,0,8,21,434,15,5,0,7,2,0,"1"
"1517","Man Utd",2,9,2,542,45,22,12,35,25,14,34,12,0,16,5,727,19,10,0,1,1,0,"Crystal Palace",0,6,1,360,59,21,10,26,14,14,5,17,1,10,13,537,28,13,0,0,0,0,"1"
"1518","Southampton",0,15,6,512,44,11,4,16,11,11,21,13,3,12,14,686,25,14,0,1,1,1,"Stoke",1,14,3,319,68,6,5,20,16,22,29,13,2,10,23,510,27,16,1,6,1,0,"-1"
"1519","Swansea",2,12,2,589,64,12,9,19,17,12,17,16,1,8,18,795,32,16,2,4,1,0,"West Bromwich Albion",1,16,5,316,56,6,2,27,18,12,24,21,0,10,12,500,33,19,0,0,3,2,"1"
"1520","Watford",0,6,3,297,56,19,9,37,20,14,6,8,0,12,5,440,21,10,1,3,0,0,"Man City",5,15,9,620,42,31,17,28,19,9,13,6,2,10,8,789,22,13,1,2,1,0,"-1"
"1521","Arsenal",4,27,10,632,55,21,16,28,23,13,30,9,5,9,18,859,25,11,1,0,1,0,"Leicester",3,6,3,263,70,18,5,33,17,11,24,23,3,12,18,459,22,10,0,6,0,0,"1"
"1522","Watford",3,9,4,395,84,18,11,25,19,11,28,15,3,14,22,595,25,11,1,2,0,0,"Liverpool",3,14,5,477,71,13,6,31,20,11,22,16,1,8,25,683,30,16,0,1,2,1,"0"
"1523","West Brom",1,16,6,242,76,11,1,24,19,14,26,12,2,15,12,420,10,4,0,2,1,0,"Bournemouth",0,9,2,612,68,11,5,17,16,5,17,8,0,3,18,775,23,8,0,5,0,0,"1"
"1524","Southampton",0,29,2,518,46,8,6,16,12,12,11,8,0,10,17,708,22,13,0,0,2,0,"Swansea",0,4,0,365,71,7,4,17,11,8,38,28,1,13,18,532,21,11,1,2,3,0,"0"
"1525","Chelsea",2,19,6,521,61,10,5,12,10,9,22,7,2,16,17,692,22,17,0,2,0,0,"Burnley",3,10,5,320,72,3,2,13,8,13,42,16,1,11,22,486,19,10,0,4,0,1,"-1"
"1526","Crystal Palace",0,15,4,391,72,29,18,29,24,19,18,11,0,7,18,632,35,12,0,4,1,0,"Huddersfield",3,9,6,306,63,12,5,46,28,9,29,15,2,19,16,500,25,7,0,4,2,0,"-1"
"1527","Everton",1,9,4,497,67,9,1,27,17,19,43,10,2,13,19,702,30,18,0,1,1,4,"Stoke",0,9,1,292,58,15,10,19,18,24,24,12,6,10,25,521,31,17,1,3,0,0,"1"
"1528","Brighton",0,7,2,213,49,9,7,16,10,12,39,14,6,6,13,376,10,2,1,3,0,0,"Manchester City",2,14,4,768,52,13,6,17,10,9,8,9,1,9,13,918,18,14,1,2,1,0,"-1"
"1529","Newcastle United",0,6,2,245,61,10,4,22,12,8,29,21,2,6,16,431,21,8,0,4,0,0,"Tottenham",2,18,6,702,43,22,10,20,16,5,22,9,1,10,15,892,18,13,0,2,3,0,"-1"
"1530","Man Utd",4,21,5,493,51,35,23,17,14,11,19,8,1,19,23,693,24,11,0,1,2,0,"West Ham",0,9,1,397,53,8,3,44,21,12,26,17,4,7,13,584,22,10,1,1,1,2,"1"
"1531","Swansea",0,5,0,406,47,11,5,34,21,10,28,6,1,12,19,592,26,13,3,4,1,0,"Man Utd",4,17,8,601,58,26,13,21,16,17,26,16,0,11,11,800,23,14,0,0,1,0,"-1"
"1532","Leicester",2,14,4,427,63,14,8,16,11,6,16,10,1,8,17,593,20,15,0,2,1,0,"Brighton",0,5,2,526,94,10,5,19,11,9,20,11,2,10,16,689,27,20,2,2,2,0,"1"
"1533","Liverpool",1,23,13,712,58,18,13,34,24,6,11,5,2,12,20,908,33,16,0,1,1,0,"Crystal Palace",0,4,1,273,89,16,10,34,21,29,26,18,4,13,13,483,30,12,1,12,3,0,"1"
"1534","Bournemouth",0,6,2,438,64,11,6,20,11,8,31,16,1,6,16,618,26,9,0,5,1,0,"Watford",2,19,7,338,64,16,9,26,20,18,28,10,7,14,17,558,26,20,0,2,0,2,"-1"
"1535","Burnley",0,20,0,471,87,10,9,15,9,7,33,7,1,11,24,665,23,14,1,0,1,0,"West Bromwich Albion",1,8,1,228,73,10,6,18,9,8,36,11,3,11,20,405,26,19,0,0,1,0,"-1"
"1536","Southampton",3,14,5,569,43,6,3,16,10,8,19,10,1,18,16,725,18,9,1,6,0,0,"West Ham",2,16,8,287,79,9,6,15,12,12,38,9,0,10,25,455,12,4,0,2,0,2,"1"
"1537","Stoke",1,11,4,213,62,16,7,35,19,8,35,16,4,6,18,395,20,10,1,6,1,0,"Arsenal",0,18,6,731,41,21,16,22,15,7,9,5,3,11,9,909,29,14,0,3,1,1,"1"
"1538","Huddersfield",1,7,3,456,69,19,5,33,24,18,29,22,4,13,24,674,20,13,0,5,0,0,"Newcastle United",0,13,5,415,81,17,9,23,18,7,27,16,5,10,12,612,25,8,1,2,0,1,"1"
"1539","Tottenham",1,18,6,592,66,29,16,23,14,4,14,11,0,14,12,821,30,10,1,0,1,0,"Chelsea",2,10,2,280,60,16,9,47,31,10,40,24,0,21,16,498,25,17,1,6,4,0,"-1"
"1540","Man City",1,19,6,560,61,20,13,15,12,10,6,13,0,7,22,746,29,17,1,1,1,1,"Everton",1,7,2,301,77,9,3,32,19,16,30,11,3,9,12,477,17,10,1,5,1,1,"0"
"1541","Bournemouth",1,9,3,258,71,16,10,33,20,12,31,22,0,13,13,450,17,8,1,6,1,1,"Man City",2,19,8,604,48,21,13,23,13,12,35,10,3,14,23,849,31,16,0,2,2,0,"-1"
"1542","Crystal Palace",0,16,3,504,66,10,7,20,16,14,9,5,0,9,21,674,30,13,2,1,0,0,"Swansea",2,7,3,464,94,13,4,27,20,5,28,8,3,6,18,618,20,9,1,3,2,0,"-1"
"1543","Huddersfield",0,16,6,378,66,13,8,26,17,11,19,12,0,10,25,581,27,15,0,2,1,0,"Southampton",0,6,3,502,75,14,9,24,16,10,29,16,3,10,18,704,32,19,2,6,0,0,"0"
"1544","Newcastle United",3,17,8,271,53,17,8,22,14,15,21,11,0,17,25,458,19,10,0,3,3,0,"West Ham",0,8,3,473,102,19,8,25,17,7,22,11,2,11,16,662,15,9,0,5,0,0,"1"
"1545","Watford",0,8,0,334,71,15,8,15,10,8,36,16,0,7,20,514,17,8,0,2,0,5,"Brighton",0,16,2,433,78,12,5,20,12,7,22,11,5,18,20,612,15,11,0,0,4,0,"0"
"1546","Man Utd",2,22,7,662,50,22,17,19,9,8,17,8,2,8,22,864,29,11,0,4,2,0,"Leicester",0,11,4,300,60,16,10,39,22,13,41,21,3,7,24,493,18,13,0,5,0,1,"1"
"1547","Chelsea",2,18,7,583,63,20,11,21,14,7,23,11,0,12,16,761,23,10,0,0,1,0,"Everton",0,7,0,437,72,10,7,28,17,16,28,13,0,7,10,625,22,11,1,5,0,1,"1"
"1548","West Bromwich Albion",1,10,2,314,58,8,4,27,17,3,24,11,2,10,13,495,26,10,1,1,3,1,"Stoke",1,16,2,438,57,20,10,24,20,7,40,10,0,9,29,649,26,18,0,1,1,0,"0"
"1549","Tottenham",1,28,5,588,63,21,10,15,9,6,19,9,1,9,15,765,18,10,1,2,0,0,"Burnley",1,13,3,272,71,10,6,26,16,15,36,31,6,9,27,474,13,8,1,4,0,0,"0"
"1550","Liverpool",4,18,10,507,63,19,15,28,19,12,19,15,3,6,11,686,21,9,0,0,0,2,"Arsenal",0,8,0,539,47,18,9,28,13,15,21,8,5,9,14,715,24,12,3,7,0,0,"1"
"1551","Man City",5,13,10,730,41,12,4,24,14,12,14,11,5,10,9,892,18,11,0,3,0,0,"Liverpool",0,7,3,372,57,17,10,19,15,18,22,2,2,9,4,540,18,9,1,6,1,0,"1"
"1552","Southampton",0,9,1,423,76,13,6,29,19,12,22,14,2,8,19,637,30,17,0,1,0,0,"Watford",2,12,3,384,60,22,10,25,19,19,34,18,1,11,23,601,22,14,0,1,2,3,"-1"
"1553","Arsenal",3,17,9,583,58,13,8,23,16,18,20,7,4,14,18,761,19,12,0,2,0,0,"Bournemouth",0,7,2,401,56,16,7,19,11,19,19,12,0,10,18,589,21,11,1,6,0,0,"1"
"1554","Brighton",3,12,6,448,71,6,3,27,17,17,35,18,1,9,15,628,17,11,0,2,3,0,"West Bromwich Albion",1,12,3,461,68,15,10,11,8,10,26,12,1,4,24,657,24,12,0,3,2,0,"1"
"1555","Everton",0,12,1,464,72,9,6,27,17,15,22,9,4,14,12,664,25,15,1,3,0,0,"Tottenham",3,15,6,458,81,20,10,19,13,11,31,20,3,14,15,664,18,8,1,1,0,0,"-1"
"1556","Leicester",1,8,2,347,65,20,7,29,18,12,21,20,1,11,12,546,23,14,0,4,3,0,"Chelsea",2,16,6,521,59,19,11,27,20,12,20,8,3,8,7,720,22,10,0,1,3,1,"-1"
"1557","Stoke",2,10,5,332,58,13,9,29,19,7,24,20,1,10,13,503,21,14,0,7,0,1,"Manchester United",2,18,8,564,54,16,10,18,9,8,15,5,4,10,16,751,20,5,0,3,1,0,"0"
"1558","Burnley",1,4,2,254,66,12,7,42,18,6,52,30,8,7,23,472,22,13,0,3,0,0,"Crystal Palace",0,23,4,450,76,32,24,19,12,12,20,9,1,14,17,677,29,18,1,1,0,0,"1"
"1559","Swansea",0,10,4,525,77,19,13,19,14,7,28,13,1,11,21,739,29,13,0,7,0,1,"Newcastle United",1,16,8,329,54,11,5,34,21,11,34,11,0,15,16,528,31,21,0,3,0,1,"-1"
"1560","West Ham",2,19,3,311,69,10,4,29,21,10,23,22,0,11,34,537,26,12,0,2,0,0,"Huddersfield",0,10,2,426,59,11,8,23,19,2,44,19,1,14,26,636,34,16,1,2,0,1,"1"
"1561","Bournemouth",2,15,3,647,42,29,18,25,12,9,14,12,1,5,23,839,33,23,0,0,1,0,"Brighton",1,9,2,390,86,22,13,37,19,13,25,11,1,12,17,561,19,14,2,1,1,1,"1"
"1562","Crystal Palace",0,14,3,410,63,15,10,23,15,7,22,15,0,14,20,601,29,18,0,3,2,0,"Southampton",1,13,4,503,76,16,8,25,15,10,36,13,1,13,20,700,19,11,1,3,0,0,"-1"
"1563","Huddersfield",1,15,3,486,81,11,8,29,16,10,31,13,3,6,24,701,22,16,0,0,0,0,"Leicester",1,10,1,344,66,23,13,16,8,9,38,22,1,6,27,558,30,21,0,2,2,1,"0"
"1564","Liverpool",1,35,9,676,55,21,14,9,6,6,9,9,1,7,8,876,18,13,0,2,2,0,"Burnley",1,5,4,277,73,6,3,25,11,7,37,26,5,9,15,448,14,10,0,8,1,0,"0"
"1565","Newcastle United",2,14,3,291,69,12,6,36,25,10,37,16,2,13,23,497,22,12,0,3,0,1,"Stoke",1,13,4,405,65,20,11,21,15,9,25,10,1,11,22,626,34,16,1,1,0,0,"1"
"1566","Watford",0,7,1,312,42,22,11,20,7,22,22,17,2,8,12,482,20,12,1,4,0,0,"Manchester City",6,28,10,637,41,18,13,30,19,10,24,11,0,6,14,840,24,21,0,1,2,1,"-1"
"1567","West Bromwich Albion",0,6,1,290,65,14,9,12,7,9,24,15,3,15,6,436,18,11,0,1,1,0,"West Ham",0,9,1,487,80,14,5,20,11,7,16,4,2,7,15,648,14,11,0,1,0,0,"0"
"1568","Tottenham",0,26,8,757,69,18,7,24,14,4,11,8,0,11,17,955,23,15,0,0,0,1,"Swansea",0,4,0,257,76,15,10,24,17,8,44,17,0,9,13,441,21,10,0,8,1,0,"0"
"1569","Chelsea",0,13,4,532,76,25,14,19,13,13,21,16,4,11,17,728,22,13,1,2,0,0,"Arsenal",0,11,2,520,57,9,6,32,18,20,24,17,2,15,20,706,27,17,0,4,2,0,"0"
